"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Puerto Rico,2022,3249.144,3252.407,1534.139,1718.267,374.184,89.284,44.308,-10.172,-3.136,6.526,0.201,...,26.058,1.568,8.033,1.283,0.618,27.192,105.2,36.23,20.352,15.878,11.169,79.72,75.578,83.897,65.463,61.357,69.592,20.247,17.917,22.387,10.548,9.178,11.643,0.179,6.843,25.904,0.22,8.444,29.4,42.931,16.66,107.553,156.091,61.325,43.309,67.64,20.704,99.069,147.199,53.416,16.702,5.149
Saint Barthélemy,2022,10.955,10.967,5.756,5.211,498.5,110.459,39.08,0.031,2.759,0.024,0.219,...,0.092,0.001,8.352,1.021,0.494,30.273,104,0.061,0.034,0.027,5.593,80.643,77.595,83.733,66.45,63.462,69.468,19.244,16.732,21.4,8.971,7.205,9.934,0.001,7.567,0.091,0.001,8.749,19.626,22.604,16.423,67.436,83.769,46.408,21.75,26.192,16.556,57.899,73.302,37.861,0,0
Saint Kitts and Nevis,2022,47.609,47.657,23.011,24.646,183.298,93.364,34.436,0.083,1.745,0.097,0.204,...,0.563,0.06,11.823,1.512,0.724,27.658,103.7,0.48,0.273,0.207,10.078,72.027,68.682,75.666,57.981,54.442,61.842,14.692,13.03,16.396,6.592,5.939,7.059,0.004,7.825,0.559,0.006,10.236,51.328,66.276,37.478,179.871,237.995,121.134,79.528,111.647,48.59,168.518,229.033,107.04,0.02,0.42
Saint Lucia,2022,179.752,179.857,88.948,90.909,291.976,97.843,33.501,0.209,1.165,0.211,0.117,...,2.035,0.225,11.316,1.387,0.668,28.016,103.1,1.826,1.023,0.803,10.151,71.294,68.005,74.887,57.533,54.341,61.014,13.758,12.05,15.402,5.737,5.019,6.25,0.024,11.934,2.014,0.03,14.565,50.106,66.138,33.474,175.955,228.605,121.098,72.07,97.36,45.97,161.17,212.896,107.522,0,0
Saint Martin (French part),2022,31.639,31.791,15.111,16.68,599.83,90.599,38.848,0.296,9.313,0.304,0.956,72.505,0.458,0.013,14.414,2.385,1.154,30.436,104,0.162,0.097,0.065,5.101,80.55,77.502,83.658,66.37,63.382,69.406,19.074,16.675,21.352,8.584,7.175,9.907,0.004,7.696,0.455,0.004,8.898,19.777,22.894,16.647,64.976,84.577,46.881,21.09,26.434,16.704,55.26,73.953,38.191,0,0
Saint Vincent and the Grenadines,2022,104.111,103.948,52.928,51.02,266.532,103.741,33.084,-0.133,-1.278,-0.327,-0.315,...,1.324,0.169,12.726,1.778,0.853,28.042,103.3,1.457,0.834,0.623,14.004,68.972,66.693,71.731,55.122,52.9,57.822,12.978,11.834,14.33,5.843,5.384,6.315,0.017,12.467,1.31,0.02,14.853,51.513,63.366,39.163,227.766,269.928,180.287,94.646,118.202,69.944,214.57,256.369,167.534,-0.2,-1.922
Sint Maarten (Dutch part),2022,44.168,44.175,23.649,20.526,1299.265,115.22,47.139,0.014,0.316,0.014,0.032,...,0.36,0.048,8.152,1.572,0.754,28.966,103.9,0.346,0.206,0.14,7.836,74.409,71.958,77.141,60.82,58.509,63.356,15.254,13.59,16.846,6.301,5.578,7.127,0.005,13.94,0.355,0.006,16.246,37.653,42.725,30.29,123.911,149.785,94.076,43.531,49.686,33.807,106.873,130.994,79.494,0,0
Trinidad and Tobago,2022,1528.932,1531.044,755.09,775.955,298.449,97.311,35.945,5.031,3.285,4.225,0.276,...,17.429,1.824,11.382,1.614,0.772,27.731,104.1,12.398,6.876,5.522,8.097,74.708,71.307,78.153,61.134,57.805,64.489,17.681,15.646,19.413,9.013,7.664,9.889,0.261,14.957,17.199,0.298,16.958,52.791,67.583,37.241,165.635,207.201,122.486,71.278,93.307,48.247,149.38,190.175,107.204,-0.8,-0.522
Turks and Caicos Islands,2022,45.529,45.703,23.006,22.697,48.108,101.364,37.71,0.148,3.23,0.347,0.759,91.324,0.56,0.022,12.27,1.658,0.794,30.714,104.9,0.412,0.231,0.181,9.04,74.925,72.165,77.986,61.103,58.601,63.88,15.584,13.908,17.298,6.702,5.908,7.392,0.006,11.389,0.554,0.008,13.639,34.33,44.797,23.777,120.963,151.238,88.037,43.139,54.245,31.155,106.792,133.891,77.332,0.2,4.386
United States Virgin Islands,2022,99.84,99.465,46.364,53.1,284.186,87.315,42.804,-0.293,-2.943,-0.75,-0.754,...,1.118,0.082,11.212,2.11,1.023,27.845,103.9,1.411,0.848,0.563,14.155,75.066,69.831,80.866,60.804,55.712,66.426,15.992,12.897,19.078,7.188,5.412,8.474,0.006,5.305,1.112,0.007,6.196,36.646,56.682,17.83,131.058,201.291,62.603,54.703,87.827,24.097,121.997,190.398,55.91,-0.45,-4.514
